DDQ编号,问题分类,问题原文,证据原文,证据来源文件,页码/段落,证据等级,回答状态,审核状态,审核备注
C1,企业概况与承诺,企业是否有公开的无毁林、无泥炭地、无剥削（NDPE）或同等级别的可持续采购承诺？,,,,Tier3,未找到,待审核,
C2,供应链透明度,企业是否披露了主要供应商名单及地理位置信息？,,,,Tier3,未找到,待审核,
C3,溯源系统,企业是否建立了商品溯源至生产地/农场的系统？,,,,Tier3,未找到,待审核,
C4,高风险地区识别,企业是否识别了采购来源中的森林风险地区？,,,,Tier3,未找到,待审核,
C5,合规监测,企业是否监测供应商的毁林和土地转换合规情况？,,,,Tier3,未找到,待审核,
C6,违规响应机制,企业是否有供应商违规行为的响应和纠正机制？,,,,Tier3,未找到,待审核,
C7,小农户支持,企业是否有支持小农户实现可持续生产的项目或计划？,,,,Tier3,未找到,待审核,
C8,第三方认证,企业采购的商品中有多大比例获得了可持续认证？,,,,Tier3,未找到,待审核,
C9,利益相关方参与,企业是否与利益相关方（NGO、社区、政府）就可持续采购进行对话？,,,,Tier3,未找到,待审核,
C10,报告与披露,企业是否定期发布可持续采购进展报告？,,,,Tier3,未找到,待审核,
S1,大豆专属,企业从巴西采购大豆的具体州/生物群系分布如何？,,,,Tier3,未找到,待审核,
S2,大豆专属,企业的大豆采购中直接采购与间接采购的比例是多少？,,,,Tier3,未找到,待审核,
S3,大豆专属,企业是否要求巴西供应商提供环境合规证明（如CAR登记）？,,,,Tier3,未找到,待审核,
S4,大豆专属,企业是否有专门针对塞拉多生物群系的保护承诺？,,,,Tier3,未找到,待审核,
S5,大豆专属,企业对大豆贸易商（如四大粮商）的可持续采购政策是否有明确要求？,,,,Tier3,未找到,待审核,
S6,大豆专属,企业是否遵守亚马逊大豆禁运协议？,,,,Tier3,未找到,待审核,
S7,大豆专属,企业是否监测和管理大豆-玉米轮作系统中的土地利用变化风险？,,,,Tier3,未找到,待审核,
S8,大豆专属,企业从中国采购的非转基因大豆是否有完整的农场级溯源？,,,,Tier3,未找到,待审核,
S9,大豆专属,企业从美国或阿根廷采购的大豆是否有可持续性要求？,,,,Tier3,未找到,待审核,
S10,大豆专属,企业能否追溯大豆至具体的压榨/加工设施？,,,,Tier3,未找到,待审核,
S11,大豆专属,企业对转基因大豆的采购和管理政策是什么？,,,,Tier3,未找到,待审核,
S12,大豆专属,企业是否监测大豆供应链中的土壤健康指标和碳排放？,,,,Tier3,未找到,待审核,
S13,大豆专属,企业在大豆供应链中如何保障劳工权益？,,,,Tier3,未找到,待审核,
S14,大豆专属,企业是否有投资于替代蛋白或大豆减量使用的战略？,,,,Tier3,未找到,待审核,
